recordID,species,year,eventDate,decimalLatitude,decimalLongitude,countryCode,stateProvince,locality,dataset
3.4545395e-300,Cerdocyon thous,2000,2000-08-25T00:00:00Z,-25.680670000000003,-54.16805,AR,Misiones,<p>RN Nº 101. Arroyo Yacuy<br /> </p>,occurrencePoints_GBIF
1.200345251e-298,Cerdocyon thous,2000,2000-09-15T00:00:00Z,-14.767809,-61.033567999999995,BO,Santa Cruz,NA,occurrencePoints_GBIF
1.2003596987e-297,Cerdocyon thous,2000,2000-09-19T00:00:00Z,-14.597009,-60.883365999999995,BO,Santa Cruz,NA,occurrencePoints_GBIF
1.960343507e-298,Cerdocyon thous,2001,2001-03-29T00:00:00Z,-25.108878700000002,-47.9626131,BR,Sp,NA,occurrencePoints_GBIF
1.960342064e-298,Cerdocyon thous,2001,2001-09-11T00:00:00Z,-24.3135801,-47.001205,BR,Sp,NA,occurrencePoints_GBIF
1.960337973e-298,Cerdocyon thous,2001,2001-11-16T00:00:00Z,-23.7153766,-46.9458017,BR,Sp,NA,occurrencePoints_GBIF
1.9603409716e-297,Cerdocyon thous,2002,2002-04-26T00:00:00Z,-23.7021772,-47.081403599999994,BR,Sp,NA,occurrencePoints_GBIF
1.960339478e-298,Cerdocyon thous,2002,2002-04-26T00:00:00Z,-23.6902771,-47.0928027,BR,Sp,NA,occurrencePoints_GBIF
3.45453951e-299,Cerdocyon thous,2002,2002-06-20T00:00:00Z,-25.70072,-54.34633,AR,Misiones,<p>RN Nº 101. Aº Ibicuy<br /> </p>,occurrencePoints_GBIF
3.45453955e-299,Cerdocyon thous,2002,2002-09-02T00:00:00Z,-25.622190000000003,-54.5435,AR,Misiones,"<p>RN Nº 12, km 5. Km 5, camino ingreso al Santuario<br /> </p>",occurrencePoints_GBIF
9.60666521e-299,Cerdocyon thous,2002,2002-10-20T10:30:00Z,-20.227086999999997,-55.91599000000001,BR,Mato Grosso do Sul,NA,occurrencePoints_GBIF
1.960342063e-298,Cerdocyon thous,2003,2003-02-06T00:00:00Z,-25.108878700000002,-47.9626131,BR,Sp,NA,occurrencePoints_GBIF
6.497057620000001e-299,Cerdocyon thous,2003,2003-03-16T00:00:00Z,4.60252,-73.71090000000001,CO,Cundinamarca,"Parque Nacional Natural Chingaza, Embalse de Chuza.",occurrencePoints_GBIF
3.4545395150000002e-298,Cerdocyon thous,2003,2003-05-15T00:00:00Z,-25.70324,-54.471610000000005,AR,Misiones,<p>RN Nº 101. Cruce Acceso Area Cataratas y puesto Gendarmería Nacional. Entre el cruce a Cataratas y puesto de Gendarmería Nacional<br /> </p>,occurrencePoints_GBIF
3.45453954e-299,Cerdocyon thous,2003,2003-05-30T00:00:00Z,-25.66906,-54.4988,AR,Misiones,<p>RN Nº 12 y RN Nº 101. Cruce a Posadas<br /> </p>,occurrencePoints_GBIF
3.45453958e-299,Cerdocyon thous,2003,2003-06-04T00:00:00Z,-25.676360000000003,-54.22941,AR,Misiones,<p>RN Nº 101. A unos 3 km antes del Palo Rosa (Guampa)<br /> </p>,occurrencePoints_GBIF
3.454539525e-298,Cerdocyon thous,2003,2003-06-15T00:00:00Z,-25.67393,-54.23526,AR,Misiones,<p>RN Nº 101. Seccional Yacuy. A unos 8 km antes de Seccional Yacuy<br /> </p>,occurrencePoints_GBIF
1.9603450753e-297,Cerdocyon thous,2003,2003-07-01T00:00:00Z,-22.4239717,-47.765204399999995,BR,Sp,NA,occurrencePoints_GBIF
1.9603455234e-297,Cerdocyon thous,2003,2003-07-01T00:00:00Z,-22.4188716,-47.7850025,BR,Sp,NA,occurrencePoints_GBIF
1.9603450807e-297,Cerdocyon thous,2003,2003-07-01T00:00:00Z,-22.4142707,-47.7661044,BR,Sp,NA,occurrencePoints_GBIF
1.9603475066e-297,Cerdocyon thous,2003,2003-07-01T00:00:00Z,-22.4131725,-47.8412049,BR,Sp,NA,occurrencePoints_GBIF
1.9603485046e-297,Cerdocyon thous,2003,2003-07-01T00:00:00Z,-22.3889713,-47.8916051,BR,Sp,NA,occurrencePoints_GBIF
1.960347508e-298,Cerdocyon thous,2003,2003-07-01T00:00:00Z,-22.3639723,-47.877704,BR,Sp,NA,occurrencePoints_GBIF
1.960345077e-298,Cerdocyon thous,2003,2003-07-01T00:00:00Z,-22.3564722,-47.8710059,BR,Sp,NA,occurrencePoints_GBIF
1.9603465046e-297,Cerdocyon thous,2003,2003-07-01T00:00:00Z,-22.3273722,-47.8714018,BR,Sp,NA,occurrencePoints_GBIF
1.960346508e-298,Cerdocyon thous,2003,2003-07-01T00:00:00Z,-22.3090702,-47.8373025,BR,Sp,NA,occurrencePoints_GBIF
1.960346504e-298,Cerdocyon thous,2003,2003-07-01T00:00:00Z,-22.2991711,-47.8448016,BR,Sp,NA,occurrencePoints_GBIF
1.960347074e-298,Cerdocyon thous,2003,2003-07-01T00:00:00Z,-22.2889711,-47.830504399999995,BR,Sp,NA,occurrencePoints_GBIF
1.960345076e-298,Cerdocyon thous,2003,2003-07-01T00:00:00Z,-22.2866715,-47.6995036,BR,Sp,NA,occurrencePoints_GBIF
1.960347501e-298,Cerdocyon thous,2003,2003-07-01T00:00:00Z,-22.2771702,-47.791705099999994,BR,Sp,NA,occurrencePoints_GBIF
1.9603475007e-297,Cerdocyon thous,2003,2003-07-01T00:00:00Z,-22.2644712,-47.7639029,BR,Sp,NA,occurrencePoints_GBIF
1.9603475070000002e-298,Cerdocyon thous,2003,2003-07-01T00:00:00Z,-22.2453713,-47.7122025,BR,Sp,NA,occurrencePoints_GBIF
1.960345524e-298,Cerdocyon thous,2003,2003-07-01T00:00:00Z,-22.2334712,-47.7452037,BR,Sp,NA,occurrencePoints_GBIF
3.45453952e-299,Cerdocyon thous,2003,2003-07-25T00:00:00Z,-25.71457,-54.44068000000001,AR,Misiones,<p>RN Nº 101. Seccional El Cruce. A pocos metros de la Seccional El Cruce<br /> </p>,occurrencePoints_GBIF
3.45453957e-299,Cerdocyon thous,2003,2003-07-26T00:00:00Z,-25.59476,-54.585640000000005,AR,Misiones,"<p>Ciudad de Iguazú. Av Costanera, a 300 metros del Santuario en dirección al Hito Tres Fronteras<br /> </p>",occurrencePoints_GBIF
1.5112892293e-297,Cerdocyon thous,2003,2003-08-06T08:39:00Z,7.843712999999999,-77.13479699999999,CO,Chocó,NA,occurrencePoints_GBIF
3.454539565e-298,Cerdocyon thous,2003,2003-09-11T00:00:00Z,-25.62159,-54.10453,AR,Misiones,<p>Andresito. Camino a Yacutinga Lodge. En Yerbal<br /> </p>,occurrencePoints_GBIF
1.887631367e-298,Cerdocyon thous,2004,2004-02-23T00:00:00Z,-25.690050000000003,-54.450920000000004,AR,Misiones,<p>camino ingreso altura porton viejo</p>,occurrencePoints_GBIF
1.887630897e-298,Cerdocyon thous,2004,2004-04-07T00:00:00Z,-31.24835,-60.247960000000006,AR,Santa Fe,"Ruta provincial nº 1, km 59 (13 km al sur de Cayastá)",occurrencePoints_GBIF
1.887632854e-298,Cerdocyon thous,2004,2004-09-05T00:00:00Z,-26.00251,-54.415980000000005,AR,Misiones,"<p>Ruta 19, 700 m despues de desvio a PP Esperanza, yendo a Uruzu.</p>",occurrencePoints_GBIF
1.540685864e-298,Cerdocyon thous,2004,2004-09-26T00:00:00Z,-21.173498,-56.446058,BR,Mato Grosso do Sul,NA,occurrencePoints_GBIF
1.88763231e-299,Cerdocyon thous,2004,2004-12-12T00:00:00Z,-31.86499,-58.26003000000001,AR,Entre Ríos,<p>Cerca de la Glorieta en camino de ingreso.</p>,occurrencePoints_GBIF
1.887632345e-298,Cerdocyon thous,2004,2004-12-14T00:00:00Z,-31.86452,-58.209210000000006,AR,Entre Ríos,<p>Camping en el Centro Administrativo.</p>,occurrencePoints_GBIF
1.887632335e-298,Cerdocyon thous,2004,2004-12-14T00:00:00Z,-31.862910000000003,-58.22923000000001,AR,Entre Ríos,<p>Arroyo los Loros y camino.</p>,occurrencePoints_GBIF
1.8876323600000001e-299,Cerdocyon thous,2004,2004-12-16T00:00:00Z,-31.87318,-58.21972,AR,Entre Ríos,<p>Entre la rotonda y la entrada a Prefectura Naval Argentina.</p>,occurrencePoints_GBIF
1.3014382226e-297,Cerdocyon thous,2004,2004-12-30T08:06:00Z,-16.020094,-57.734832999999995,BR,Mato Grosso,NA,occurrencePoints_GBIF
1.88763169e-299,Cerdocyon thous,2005,2005-01-01T00:00:00Z,-28.02437,-58.070310000000006,AR,Corrientes,"<p>Ruta 86, entre potreros 17 y 18</p>",occurrencePoints_GBIF
1.88763089e-299,Cerdocyon thous,2005,2005-01-29T00:00:00Z,-31.512790000000003,-60.46892,AR,Santa Fe,Arroyo Potrero,occurrencePoints_GBIF
1.4243571486e-297,Cerdocyon thous,2005,2005-03-24T21:50:00Z,-28.011574999999997,-58.010607,AR,Corrientes,NA,occurrencePoints_GBIF
1.1967329743e-297,Cerdocyon thous,2005,2005-06-05T00:00:00Z,5.126688,-75.499689,CO,Caldas,"Vereda Altobonito, microcuenca La Manga",occurrencePoints_GBIF
1.887631515e-298,Cerdocyon thous,2005,2005-06-19T00:00:00Z,-25.61249,-54.55293,AR,Misiones,"<p>Camino principal de acceso a las 600 ha, entre 500 y 800 m (murito de piedra) desde la Ruta 12.</p>",occurrencePoints_GBIF
2.0160742434e-297,Cerdocyon thous,2005,2005-07-11T13:35:00Z,-9.791663,-56.039505,BR,Mato Grosso,NA,occurrencePoints_GBIF
1.960359744e-298,Cerdocyon thous,2005,2005-07-14T00:00:00Z,-23.182679,-45.3519902,BR,Sp,NA,occurrencePoints_GBIF
1.88763131e-299,Cerdocyon thous,2005,2005-08-26T00:00:00Z,-31.22417,-60.21903,AR,Santa Fe,7 km al sur de Cayastá por Ruta provincial nº 1,occurrencePoints_GBIF
1.88763087e-299,Cerdocyon thous,2005,2005-08-26T00:00:00Z,-31.218840000000004,-60.209320000000005,AR,Santa Fe,"Ruta provincial nº 1, 7 km al sur de Cayastá",occurrencePoints_GBIF
1.88763152e-299,Cerdocyon thous,2005,2005-09-25T00:00:00Z,-25.605210000000003,-54.54863,AR,Misiones,<p>600 ha de Puerto Iguazu. Porton al primer campo de la Policia.</p>,occurrencePoints_GBIF
1.88763153e-299,Cerdocyon thous,2005,2005-09-25T00:00:00Z,-25.603130000000004,-54.545190000000005,AR,Misiones,<p>600 ha de Puerto Iguazu. En el camino nuevo (entre desvio a cantera y primera curva del lote 10).</p>,occurrencePoints_GBIF
1.887631525e-298,Cerdocyon thous,2005,2005-09-25T00:00:00Z,-25.60303,-54.55142000000001,AR,Misiones,<p>600 ha de Puerto Iguazu. En el monte entre los dos campos de la Policia.</p>,occurrencePoints_GBIF
1.887631535e-298,Cerdocyon thous,2005,2005-09-25T00:00:00Z,-25.60216,-54.53976,AR,Misiones,<p>600 ha de Puerto Iguazu. En la primer curva antes del Lote 10 (yendo desde cantera hacia el lote 10).</p>,occurrencePoints_GBIF
1.887632024e-298,Cerdocyon thous,2005,2005-09-27T00:00:00Z,-28.041660000000004,-58.10045,AR,Corrientes,"<p>Casco Santa Maria, a 30 m del casco.</p>",occurrencePoints_GBIF
1.9258402005e-297,Cerdocyon thous,2005,2005-10-01T00:00:00Z,11.032667,-72.754528,CO,La Guajira,Arroyo Paladines,occurrencePoints_GBIF
